,Name,Global_Sales,NA_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,index,Year_of_Release,Genre,Publisher,Developer,Rating
3993,Tournament of Legends,0.06,0.04,0.0,0.01,45.0,38.0,6.9,11.0,12335,2010.0,Fighting,Sega,High Voltage Software,T
1531,Guilty Gear X: Advance Edition,0.06,0.04,0.0,0.0,67.0,14.0,5.9,10.0,12598,2002.0,Fighting,Sammy Corporation,Arc System Works,T
2500,Nanostray,0.06,0.05,0.0,0.0,71.0,43.0,7.7,19.0,12744,2005.0,Shooter,Majesco Entertainment,Shin'en,E
1613,Headhunter: Redemption,0.06,0.04,0.0,0.0,60.5,55.0,6.75,11.0,13869,2004.0,Action,Sega,Amuze,M
155,Arkanoid DS,0.06,0.06,0.0,0.0,61.0,29.0,7.0,5.0,12529,2007.0,Puzzle,Square Enix,Taito Corporation,E
604,Commandos: Strike Force,0.06,0.03,0.0,0.01,58.0,26.0,8.5,11.0,12594,2006.0,Shooter,Eidos Interactive,Pyro Studios,T
2753,PoPoLoCrois,0.06,0.05,0.0,0.0,66.0,41.0,7.4,17.0,12637,2005.0,Role-Playing,Ignition Entertainment,G-Artists,E
2870,RPG Maker 3,0.06,0.03,0.0,0.01,69.0,16.0,7.9,14.0,12285,2004.0,Role-Playing,Enterbrain,Runtime,E10+
2877,Racing Gears Advance,0.06,0.04,0.0,0.0,83.0,17.0,8.9,9.0,12672,2004.0,Racing,Zoo Digital Publishing,"Orbital Media, Inc.",E
1711,Insecticide,0.06,0.06,0.0,0.0,55.0,23.0,7.0,5.0,12322,2008.0,Action,Gamecock,Creat Studios,E10+
3477,Steambot Chronicles: Battle Tournament,0.06,0.05,0.01,0.01,54.0,14.0,6.3,8.0,12282,2008.0,Fighting,Irem Software Engineering,Irem,E10+
1314,Flipnic: Ultimate Pinball,0.06,0.03,0.0,0.01,64.0,28.0,8.1,12.0,12545,2003.0,Misc,Ubisoft,SCEI,E
146,Arc the Lad: End of Darkness,0.06,0.03,0.0,0.01,59.0,24.0,4.2,10.0,12372,2004.0,Role-Playing,Sony Computer Entertainment,Cattle Call,T
1724,Izuna 2: The Unemployed Ninja Returns,0.06,0.05,0.0,0.0,65.0,18.0,7.9,13.0,12853,2007.0,Role-Playing,Success,Ninja Studio,T
4187,Warriors of the Lost Empire,0.06,0.05,0.0,0.0,52.0,6.0,7.4,12.0,12601,2007.0,Role-Playing,Mercury Games,Platinum Egg,T
3026,Rogue Trooper,0.06,0.03,0.0,0.01,71.0,74.0,8.35,20.0,13575,2006.0,Shooter,Eidos Interactive,Rebellion,T
3972,Top Gun: Hard Lock,0.06,0.03,0.0,0.0,54.0,8.0,3.5,16.0,12714,2012.0,Action,505 Games,505 Games,T
3052,Rugby World Cup 2015,0.06,0.0,0.0,0.01,25.0,6.0,1.9,39.0,12757,2015.0,Sports,Ubisoft,HB Studios Multimedia,E
2260,Mobile Suit Gundam: Gundam vs. Zeta Gundam,0.06,0.03,0.0,0.01,57.0,16.0,8.6,11.0,12595,2004.0,Shooter,Namco Bandai Games,Capcom,T
1113,Escape from Bug Island,0.06,0.04,0.01,0.0,37.0,13.0,5.0,25.0,12337,2006.0,Action,Eidos Interactive,Spike,M
975,Dragon Rage,0.06,0.03,0.0,0.01,50.0,9.0,6.4,9.0,12638,2001.0,Shooter,3DO,3DO,T
1436,Giants: Citizen Kabuto,0.06,0.03,0.0,0.01,79.0,15.0,6.9,8.0,12458,2001.0,Shooter,Interplay,Digital Mayhem,T
1951,Lord of Magna: Maiden Heaven,0.06,0.0,0.06,0.0,68.0,16.0,7.8,36.0,12630,2014.0,Role-Playing,Marvelous Entertainment,Marvelous Inc.,T
3790,The Next BIG Thing,0.06,0.0,0.0,0.01,75.0,30.0,7.9,35.0,12504,2011.0,Adventure,Focus Home Interactive,Pendulo Studios,E10+
2018,MX vs. ATV Supercross Encore,0.06,0.0,0.0,0.01,42.0,8.0,4.1,9.0,12729,2015.0,Sports,Nordic Games,Rainbow Studios,E
2183,Mercury Meltdown,0.06,0.05,0.0,0.01,78.0,36.0,7.8,8.0,12683,2006.0,Action,Atari,Ignition Entertainment,E
1471,Gothic 3,0.06,0.0,0.0,0.01,63.0,39.0,7.3,519.0,12859,2006.0,Role-Playing,JoWood Productions,Piranha Bytes,T
3140,Scurge: Hive,0.06,0.05,0.0,0.0,70.0,29.0,8.6,5.0,12787,2006.0,Action,SouthPeak Games,"Orbital Media, Inc.",E10+
2317,MotorStorm RC,0.06,0.0,0.0,0.01,78.0,39.0,6.8,123.0,12779,2012.0,Racing,Sony Computer Entertainment,Evolution Studios,E
1422,Generation of Chaos,0.06,0.05,0.0,0.0,60.0,29.0,7.7,18.0,12770,2005.0,Role-Playing,Midas Interactive Entertainment,Idea Factory,T
1908,Legend of the Dragon,0.06,0.06,0.0,0.0,37.0,14.0,4.8,5.0,12361,2007.0,Fighting,Game Factory,Neko Entertainment,T
3223,Showtime Championship Boxing,0.06,0.06,0.0,0.0,35.0,7.0,4.7,10.0,12419,2007.0,Fighting,Zoo Digital Publishing,Nikitova Games,E10+
1956,Lost Kingdoms II,0.06,0.04,0.0,0.0,68.0,25.0,9.1,14.0,12759,2003.0,Role-Playing,Activision,From Software,T
334,Blade Dancer: Lineage of Light,0.06,0.05,0.0,0.0,60.0,33.0,6.9,16.0,12763,2006.0,Role-Playing,Atari,Hit Maker,E10+
2325,Muppets Party Cruise,0.06,0.03,0.0,0.01,61.0,11.0,8.0,6.0,12468,2003.0,Misc,TDK Mediactive,Mass Media,E
312,Big Bang Mini,0.06,0.05,0.0,0.0,78.0,39.0,8.2,26.0,12531,2009.0,Shooter,SouthPeak Games,Arkedo Studio,E
3114,Samurai Shodown Anthology,0.06,0.05,0.0,0.0,74.0,6.0,8.2,5.0,12742,2008.0,Fighting,Ignition Entertainment,SNK Playmore,T
3113,Samurai Jack: The Shadow of Aku,0.06,0.03,0.0,0.01,59.0,21.0,8.4,10.0,12749,2004.0,Action,Sega,Adrenium,T
4088,V-Rally 3,0.06,0.03,0.0,0.01,82.0,10.0,7.4,14.0,12843,2002.0,Racing,Atari,Eden Studios,E
4104,Vampire Rain: Altered Species,0.06,0.05,0.0,0.0,30.0,15.0,3.5,36.0,12669,2008.0,Action,Ignition Entertainment,Artoon,M
1473,Gradius Collection,0.06,0.04,0.02,0.0,76.0,44.0,8.5,4.0,12344,2006.0,Shooter,Konami Digital Entertainment,M2,E
2255,Mobile Suit Gundam Seed: Never Ending Tomorrow,0.06,0.03,0.0,0.01,45.0,16.0,7.8,10.0,12351,2004.0,Shooter,Namco Bandai Games,Bec,T
2073,Mana Khemia: Alchemists of Al-Revis,0.06,0.03,0.0,0.01,69.0,20.0,7.5,41.0,12717,2007.0,Role-Playing,Nippon Ichi Software,Gust,E10+
1071,Earth Defense Force 2017 Portable,0.06,0.0,0.06,0.0,68.0,36.0,7.9,31.0,12434,2012.0,Action,D3Publisher,Sandlot,T
2499,NanoBreaker,0.06,0.03,0.0,0.01,51.0,38.0,6.7,11.0,12304,2005.0,Action,Konami Digital Entertainment,KCET,M
3860,The Witcher,0.06,0.0,0.0,0.01,81.0,50.0,8.8,1116.0,12553,2007.0,Role-Playing,Atari,CD Projekt Red Studio,M
825,Devil's Third,0.06,0.04,0.0,0.01,43.0,54.0,6.5,283.0,12605,2015.0,Action,Nintendo,Valhalla Game Studios,M
1074,Earth Defense Force 4.1: The Shadow of New Despair,0.06,0.03,0.0,0.01,64.0,40.0,7.9,51.0,12477,2015.0,Shooter,Xseed Games,Sandlot,M
1896,Land of the Dead: Road to Fiddler's Green,0.06,0.05,0.0,0.0,32.0,9.0,5.8,10.0,12387,2005.0,Shooter,Groove Games,Brainbox Games,M
2286,Monster Tale,0.06,0.06,0.0,0.0,79.0,15.0,8.0,15.0,12360,2011.0,Platform,Majesco Entertainment,DreamRift,E
2227,Miami Vice: The Game,0.06,0.06,0.0,0.0,63.0,36.0,7.0,12.0,12313,2006.0,Shooter,Activision,Rebellion,M
1403,Gallop Racer 2004,0.06,0.03,0.0,0.01,70.0,15.0,8.7,12.0,12348,2004.0,Sports,Zoo Digital Publishing,Tecmo,E
