Book_Name,author,Url,Average_Rating,Ratings_Count,Categories,Year_Published
The Sorcerer's Apprentice Junior Novel,James Ponti,http://books.google.com/books/content?id=ZdMMQgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,4,1,Juvenile Fiction,2010-06-01
"Cirque Du Freak (The Saga of Darren Shan, Book 1)",Darren Shan,http://books.google.com/books/content?id=g_qYQpQV5f8C&printsec=frontcover&img=1&zoom=5&source=gbs_api,4,74,Juvenile Fiction,2011-03-21
Vampire Mountain,Darren Shan,http://books.google.com/books/content?id=lR-4QT-8JpcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,35,Juvenile Fiction,2004
The Lake of Souls,Darren Shan,http://books.google.com/books/content?id=SBn41Vz6CooC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,16,Juvenile Fiction,2005
Cirque Du Freak #4: Vampire Mountain,Darren Shan,http://books.google.com/books/content?id=YwNr9OPqO_AC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,5,4,Young Adult Fiction,2008-08-01
Cirque Du Freak #3: Tunnels of Blood,Darren Shan,http://books.google.com/books/content?id=Jgh_UFBgJtAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,8,Young Adult Fiction,2008-08-01
Cirque Du Freak #1: A Living Nightmare,Darren Shan,http://books.google.com/books/content?id=pJ6KP6sxnNoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,31,Young Adult Fiction,2008-08-01
"Allies of the Night (The Saga of Darren Shan, Book 8)",Darren Shan,http://books.google.com/books/content?id=5paXcRflqC4C&printsec=frontcover&img=1&zoom=5&source=gbs_api,4,8,Juvenile Fiction,2011-03-21
Cirque Du Freak #2: The Vampire's Assistant,Darren Shan,http://books.google.com/books/content?id=VfFBRhgtikwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,13,Young Adult Fiction,2007-07-31
Cirque Du Freak #11: Lord of the Shadows,Darren Shan,http://books.google.com/books/content?id=ESTQB4h2zi8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,4,Young Adult Fiction,2007-07-31
Cirque Du Freak #8: Allies of the Night,Darren Shan,http://books.google.com/books/content?id=WHuriO8X0JoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,5,5,Young Adult Fiction,2007-09-03
Re-Reading Harry Potter,Suman Gupta,http://books.google.com/books/content?id=JI6JDAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,5,1,Literary Criticism,2009-06-25
The Gospel According to Harry Potter,Connie W. Neal,http://books.google.com/books/content?id=1w3kBjto0KsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,5,1,Religion,2003-12-01
Harry Potter Power,Julie-Anne Sykley,http://books.google.com/books/content?id=WV8pZj_oNBwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,1,1,Juvenile Nonfiction,2010
Harry Potter and the Sorcerer's Stone,J. K. Rowling,http://books.google.com/books/content?id=gqX7rQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,5,4,Juvenile Fiction,2015-10-06
Harry Potter and the Cursed Child – Parts One and Two (Special Rehearsal Edition),J.K. Rowling,http://books.google.com/books/content?id=tcSMCwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,232,Drama,2016-07-31
A Compendium of Collective Nouns,Woop Studios,http://books.google.com/books/content?id=aHhP_7zOG8wC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,1,Reference,2013-09-17
A Medal for Leroy,Michael Morpurgo,http://books.google.com/books/content?id=S2RlAgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,3,Juvenile Fiction,2014-01-14
